frame_idx,obj_id,tip_x,tip_y,base_x,base_y
125,2,726.0,723.0,41.0,130.0
126,1,1005.0,403.0,1599.0,764.0
126,2,732.0,714.0,43.0,124.0
127,1,985.0,421.0,1599.0,793.0
127,2,739.0,705.0,46.0,119.0
128,1,963.0,443.0,1599.0,822.0
128,2,746.0,697.0,50.0,113.0
129,1,946.0,460.0,1599.0,847.0
129,2,758.0,686.0,55.0,109.0
130,1,926.0,480.0,1599.0,873.0
130,2,767.0,681.0,59.0,103.0
131,1,907.0,499.0,1599.0,898.0
131,2,778.0,676.0,62.0,100.0
132,1,890.0,511.0,1599.0,918.0
132,2,788.0,672.0,65.0,98.0
133,1,873.0,522.0,1599.0,936.0
133,2,797.0,670.0,65.0,93.0
134,1,859.0,531.0,1599.0,952.0
134,2,811.0,662.0,68.0,91.0
135,1,843.0,541.0,1599.0,968.0
135,2,819.0,661.0,69.0,86.0
136,1,831.0,547.0,1599.0,984.0
136,2,828.0,660.0,71.0,86.0
137,1,821.0,553.0,1599.0,997.0
137,2,837.0,658.0,70.0,87.0
138,1,813.0,557.0,1599.0,1007.0
138,2,846.0,656.0,71.0,84.0
139,1,805.0,561.0,1599.0,1020.0
139,2,853.0,658.0,71.0,84.0
140,1,797.0,567.0,1599.0,1032.0
140,2,859.0,659.0,70.0,85.0
141,1,787.0,569.0,1599.0,1042.0
141,2,864.0,657.0,71.0,84.0
142,1,786.0,564.0,1599.0,1049.0
142,2,871.0,650.0,75.0,82.0
143,1,787.0,559.0,1599.0,1057.0
143,2,877.0,644.0,75.0,79.0
144,1,786.0,555.0,1599.0,1063.0
144,2,879.0,643.0,76.0,78.0
145,1,788.0,550.0,1599.0,1069.0
145,2,884.0,636.0,78.0,74.0
146,1,794.0,546.0,1599.0,1075.0
146,2,888.0,630.0,80.0,72.0
147,1,790.0,541.0,1599.0,1074.0
147,2,888.0,629.0,79.0,71.0
148,1,786.0,530.0,1599.0,1068.0
148,2,888.0,626.0,77.0,67.0
149,1,786.0,520.0,1599.0,1069.0
149,2,890.0,616.0,78.0,63.0
150,1,790.0,512.0,1599.0,1067.0
150,2,893.0,605.0,85.0,63.0
151,1,793.0,504.0,1599.0,1071.0
151,2,895.0,597.0,90.0,59.0
152,1,791.0,503.0,1599.0,1071.0
152,2,894.0,593.0,89.0,57.0
153,1,793.0,499.0,1599.0,1070.0
153,2,894.0,588.0,90.0,58.0
154,1,795.0,491.0,1599.0,1064.0
154,2,892.0,584.0,90.0,55.0
155,1,796.0,487.0,1599.0,1058.0
155,2,890.0,580.0,90.0,52.0
156,1,799.0,484.0,1599.0,1058.0
156,2,887.0,575.0,88.0,52.0
157,1,805.0,476.0,1599.0,1052.0
157,2,880.0,576.0,86.0,53.0
158,1,814.0,466.0,1599.0,1048.0
158,2,872.0,579.0,82.0,54.0
159,1,821.0,459.0,1599.0,1034.0
159,2,867.0,579.0,78.0,56.0
160,1,832.0,448.0,1599.0,1022.0
160,2,862.0,579.0,80.0,58.0
161,1,845.0,436.0,1599.0,1005.0
161,2,854.0,585.0,77.0,62.0
162,1,859.0,424.0,1599.0,988.0
162,2,850.0,585.0,73.0,63.0
163,1,870.0,416.0,1599.0,980.0
163,2,844.0,590.0,74.0,69.0
164,1,878.0,411.0,1599.0,966.0
164,2,840.0,593.0,70.0,72.0
165,1,887.0,405.0,1599.0,957.0
165,2,838.0,594.0,70.0,72.0
166,1,894.0,401.0,1599.0,950.0
166,2,837.0,594.0,71.0,73.0
167,1,899.0,401.0,1599.0,942.0
167,2,834.0,597.0,69.0,74.0
168,1,906.0,397.0,1599.0,936.0
168,2,831.0,601.0,67.0,77.0
169,1,911.0,395.0,1599.0,928.0
169,2,828.0,604.0,67.0,79.0
170,1,915.0,393.0,1599.0,927.0
170,2,827.0,604.0,65.0,77.0
171,1,913.0,396.0,1599.0,928.0
171,2,826.0,602.0,65.0,77.0
172,1,913.0,397.0,1599.0,931.0
172,2,824.0,602.0,65.0,77.0
173,1,912.0,397.0,1599.0,932.0
173,2,821.0,603.0,64.0,77.0
174,1,909.0,400.0,1599.0,934.0
174,2,818.0,602.0,65.0,77.0
175,1,906.0,404.0,1599.0,940.0
175,2,816.0,598.0,63.0,77.0
176,1,905.0,405.0,1599.0,943.0
176,2,810.0,597.0,65.0,77.0
177,1,904.0,406.0,1599.0,945.0
177,2,806.0,592.0,65.0,77.0
178,1,902.0,409.0,1599.0,946.0
178,2,802.0,587.0,63.0,77.0
179,1,902.0,410.0,1599.0,945.0
179,2,797.0,584.0,64.0,77.0
180,1,898.0,416.0,1599.0,948.0
180,2,790.0,581.0,63.0,77.0
181,1,897.0,418.0,1599.0,953.0
181,2,783.0,576.0,64.0,76.0
182,1,896.0,421.0,1599.0,958.0
182,2,774.0,573.0,63.0,76.0
183,1,895.0,424.0,1599.0,958.0
183,2,767.0,565.0,62.0,76.0
184,1,893.0,429.0,1599.0,962.0
184,2,760.0,554.0,64.0,72.0
185,1,892.0,433.0,1599.0,964.0
185,2,753.0,545.0,64.0,68.0
186,1,894.0,435.0,1599.0,965.0
186,2,745.0,536.0,65.0,69.0
187,1,894.0,439.0,1599.0,964.0
187,2,735.0,531.0,64.0,68.0
188,1,894.0,445.0,1599.0,966.0
188,2,729.0,518.0,67.0,63.0
189,1,893.0,452.0,1599.0,971.0
189,2,723.0,506.0,70.0,58.0
190,1,891.0,461.0,1599.0,976.0
190,2,719.0,494.0,71.0,58.0
191,1,891.0,466.0,1599.0,979.0
191,2,715.0,482.0,75.0,53.0
192,1,887.0,476.0,1599.0,982.0
192,2,712.0,471.0,82.0,49.0
193,1,888.0,480.0,1599.0,989.0
193,2,709.0,460.0,82.0,44.0
194,1,884.0,489.0,1599.0,993.0
194,2,709.0,445.0,87.0,40.0
195,1,880.0,498.0,1599.0,1000.0
195,2,710.0,433.0,93.0,34.0
196,1,877.0,505.0,1599.0,1007.0
196,2,713.0,424.0,100.0,29.0
197,1,868.0,518.0,1599.0,1018.0
197,2,716.0,419.0,102.0,24.0
198,1,860.0,530.0,1599.0,1024.0
198,2,721.0,413.0,110.0,24.0
199,1,854.0,537.0,1599.0,1033.0
199,2,729.0,405.0,115.0,20.0
200,1,847.0,545.0,1599.0,1041.0
200,2,733.0,404.0,119.0,17.0
201,1,839.0,555.0,1599.0,1049.0
201,2,738.0,402.0,122.0,15.0
202,1,831.0,564.0,1599.0,1057.0
202,2,742.0,398.0,128.0,11.0
203,1,822.0,573.0,1599.0,1074.0
203,2,750.0,387.0,134.0,8.0
204,1,813.0,582.0,1599.0,1083.0
204,2,755.0,381.0,143.0,0.0
205,1,806.0,589.0,1599.0,1087.0
205,2,760.0,374.0,145.0,0.0
206,1,802.0,592.0,1599.0,1091.0
206,2,765.0,367.0,152.0,0.0
207,1,796.0,598.0,1599.0,1092.0
207,2,768.0,363.0,162.0,0.0
208,1,791.0,602.0,1599.0,1099.0
208,2,771.0,357.0,170.0,0.0
209,1,784.0,607.0,1599.0,1101.0
209,2,777.0,351.0,181.0,0.0
210,1,775.0,615.0,1599.0,1106.0
210,2,784.0,348.0,191.0,0.0
211,1,766.0,621.0,1599.0,1107.0
211,2,789.0,349.0,196.0,0.0
212,1,760.0,623.0,1583.0,1103.0
212,2,796.0,349.0,201.0,0.0
213,1,753.0,627.0,1581.0,1103.0
213,2,803.0,351.0,205.0,0.0
214,1,746.0,631.0,1576.0,1108.0
214,2,811.0,354.0,207.0,0.0
215,1,739.0,634.0,1573.0,1115.0
215,2,817.0,358.0,211.0,0.0
216,1,733.0,635.0,1569.0,1115.0
216,2,827.0,359.0,216.0,0.0
217,1,727.0,633.0,1572.0,1117.0
217,2,836.0,363.0,219.0,0.0
218,1,720.0,634.0,1571.0,1120.0
218,2,844.0,370.0,216.0,0.0
219,1,716.0,631.0,1570.0,1118.0
219,2,850.0,377.0,216.0,0.0
220,1,713.0,629.0,1571.0,1122.0
220,2,857.0,380.0,214.0,0.0
221,1,713.0,624.0,1572.0,1118.0
221,2,861.0,386.0,213.0,0.0
222,1,713.0,621.0,1573.0,1119.0
222,2,867.0,388.0,214.0,0.0
223,1,715.0,615.0,1575.0,1117.0
223,2,871.0,393.0,212.0,0.0
224,1,715.0,612.0,1574.0,1113.0
224,2,873.0,400.0,204.0,0.0
225,1,720.0,602.0,1578.0,1108.0
225,2,875.0,406.0,200.0,0.0
226,1,721.0,597.0,1583.0,1103.0
226,2,876.0,415.0,190.0,0.0
227,1,722.0,592.0,1599.0,1113.0
227,2,877.0,425.0,185.0,0.0
228,1,725.0,585.0,1599.0,1100.0
228,2,878.0,434.0,174.0,0.0
229,1,726.0,580.0,1599.0,1108.0
229,2,881.0,441.0,172.0,0.0
230,1,724.0,579.0,1592.0,1099.0
230,2,882.0,449.0,167.0,0.0
231,1,723.0,578.0,1599.0,1105.0
231,2,884.0,459.0,163.0,0.0
232,1,722.0,574.0,1599.0,1108.0
232,2,887.0,467.0,157.0,0.0
233,1,715.0,575.0,1599.0,1105.0
233,2,890.0,476.0,153.0,0.0
234,1,706.0,577.0,1599.0,1101.0
234,2,892.0,485.0,150.0,6.0
235,1,700.0,577.0,1592.0,1102.0
235,2,896.0,490.0,148.0,4.0
236,1,696.0,577.0,1593.0,1104.0
236,2,899.0,494.0,146.0,6.0
237,1,696.0,573.0,1594.0,1103.0
237,2,902.0,498.0,145.0,6.0
238,1,696.0,569.0,1599.0,1100.0
238,2,904.0,503.0,148.0,7.0
239,1,696.0,566.0,1593.0,1103.0
239,2,907.0,507.0,150.0,8.0
240,1,697.0,561.0,1590.0,1099.0
240,2,910.0,510.0,145.0,7.0
241,1,697.0,559.0,1599.0,1106.0
241,2,913.0,513.0,147.0,10.0
242,1,701.0,551.0,1594.0,1096.0
242,2,916.0,515.0,150.0,11.0
243,1,702.0,548.0,1599.0,1103.0
243,2,917.0,520.0,143.0,9.0
244,1,706.0,542.0,1599.0,1096.0
244,2,920.0,522.0,144.0,8.0
245,1,709.0,538.0,1599.0,1097.0
245,2,922.0,524.0,145.0,13.0
246,1,711.0,536.0,1599.0,1094.0
246,2,924.0,527.0,143.0,12.0
247,1,715.0,530.0,1599.0,1088.0
247,2,926.0,529.0,142.0,14.0
248,1,718.0,527.0,1599.0,1087.0
248,2,927.0,533.0,144.0,15.0
249,1,722.0,521.0,1599.0,1083.0
249,2,928.0,536.0,144.0,15.0
250,1,729.0,514.0,1599.0,1079.0
250,2,928.0,541.0,143.0,16.0
251,1,733.0,508.0,1599.0,1074.0
251,2,931.0,543.0,140.0,17.0
252,1,737.0,504.0,1599.0,1066.0
252,2,931.0,542.0,140.0,17.0
253,1,740.0,502.0,1599.0,1062.0
253,2,925.0,544.0,140.0,20.0
254,1,744.0,499.0,1599.0,1061.0
254,2,924.0,550.0,139.0,18.0
255,1,751.0,492.0,1599.0,1056.0
255,2,931.0,551.0,140.0,20.0
256,1,755.0,489.0,1599.0,1053.0
256,2,933.0,555.0,138.0,21.0
257,1,760.0,485.0,1599.0,1043.0
257,2,933.0,559.0,138.0,22.0
258,1,765.0,480.0,1599.0,1042.0
258,2,934.0,560.0,135.0,22.0
259,1,771.0,475.0,1599.0,1036.0
259,2,933.0,559.0,135.0,25.0
260,1,772.0,476.0,1599.0,1034.0
260,2,932.0,559.0,132.0,21.0
261,1,776.0,475.0,1599.0,1031.0
261,2,932.0,559.0,132.0,20.0
262,1,780.0,482.0,1599.0,1026.0
262,2,931.0,559.0,131.0,20.0
263,1,783.0,480.0,1599.0,1023.0
263,2,930.0,558.0,135.0,21.0
264,1,787.0,483.0,1599.0,1021.0
264,2,930.0,556.0,138.0,21.0
265,1,790.0,481.0,1599.0,1019.0
265,2,928.0,555.0,137.0,22.0
266,1,814.0,455.0,1599.0,1013.0
266,2,927.0,553.0,134.0,20.0
267,1,806.0,452.0,1599.0,1009.0
267,2,925.0,553.0,134.0,18.0
268,1,805.0,452.0,1599.0,1003.0
268,2,923.0,553.0,132.0,16.0
269,1,806.0,452.0,1599.0,1001.0
269,2,924.0,550.0,135.0,20.0
270,1,807.0,452.0,1599.0,1001.0
270,2,922.0,551.0,132.0,19.0
271,1,809.0,452.0,1599.0,995.0
271,2,921.0,552.0,131.0,21.0
272,1,815.0,447.0,1599.0,990.0
272,2,919.0,554.0,134.0,21.0
273,1,817.0,447.0,1599.0,989.0
273,2,917.0,558.0,129.0,23.0
274,1,820.0,445.0,1599.0,989.0
274,2,917.0,558.0,128.0,25.0
275,1,820.0,447.0,1599.0,985.0
275,2,916.0,559.0,128.0,22.0
276,1,822.0,447.0,1599.0,985.0
276,2,916.0,560.0,129.0,25.0
277,1,827.0,442.0,1599.0,977.0
277,2,915.0,562.0,127.0,25.0
278,1,832.0,439.0,1599.0,974.0
278,2,915.0,563.0,127.0,25.0
279,1,834.0,439.0,1599.0,971.0
279,2,914.0,565.0,127.0,26.0
280,1,836.0,438.0,1599.0,970.0
280,2,915.0,564.0,128.0,25.0
281,1,836.0,439.0,1599.0,969.0
281,2,915.0,564.0,127.0,26.0
282,1,838.0,437.0,1599.0,969.0
282,2,913.0,567.0,126.0,25.0
283,1,838.0,438.0,1599.0,971.0
283,2,914.0,566.0,128.0,28.0
284,1,840.0,436.0,1599.0,972.0
284,2,915.0,564.0,129.0,29.0
285,1,839.0,438.0,1599.0,971.0
285,2,914.0,565.0,126.0,25.0
286,1,837.0,441.0,1599.0,970.0
286,2,914.0,564.0,127.0,24.0
287,1,836.0,442.0,1599.0,972.0
287,2,914.0,562.0,126.0,21.0
288,1,834.0,445.0,1599.0,973.0
288,2,915.0,559.0,131.0,22.0
289,1,832.0,447.0,1599.0,980.0
289,2,915.0,556.0,132.0,21.0
290,1,831.0,448.0,1599.0,981.0
290,2,914.0,555.0,136.0,23.0
291,1,831.0,447.0,1599.0,984.0
291,2,915.0,551.0,134.0,20.0
292,1,831.0,447.0,1599.0,986.0
292,2,914.0,550.0,135.0,20.0
293,1,828.0,452.0,1599.0,986.0
293,2,914.0,547.0,139.0,20.0
